ALIGN_SPLIT,OPTIMIZE_SPLIT,OPTIMIZE_REPS,CUDA_THREADS,N_RESTART,CLIPPING,SIM_THRESH,BUFFER_SIZE,WORKER_PARS,WORKER_BUCK,WORKER_DS,TIME,THROUG,AVG_RMSD
8,8,1,128,256,10,1,1048576,2,1,2,159.465,2819.43,2.86
72,72,5,128,1024,1024,4,52428800,20,10,8,2629.244,171.00,2.04
