ALIGN_SPLIT,OPTIMIZE_SPLIT,OPTIMIZE_REPS,CUDA_THREADS,N_RESTART,CLIPPING,SIM_THRESH,BUFFER_SIZE,WORKER_PARS,WORKER_BUCK,WORKER_DS,TIME,THROUG,AVG_RMSD
8,8,1,96,256,256,4,5242880,20,4,6,64.574,6962.57,2.20
8,8,1,96,1024,10,1,1048576,20,4,6,174.653,2574.25,2.99
8,8,1,96,1024,10,1,5242880,20,4,6,174.443,2577.35,2.99
8,8,1,96,1024,10,2,1048576,20,4,6,173.549,2590.62,2.91
8,8,1,96,1024,10,2,5242880,20,4,6,173.008,2598.72,2.91
8,8,1,96,1024,10,3,1048576,20,4,6,172.353,2608.60,2.93
8,8,1,96,1024,10,3,5242880,20,4,6,166.016,2708.17,2.93
8,8,1,96,1024,10,4,1048576,20,4,6,174.222,2580.62,3.08
8,8,1,96,1024,10,4,5242880,20,4,6,169.269,2656.13,3.08
8,8,1,96,1024,50,1,1048576,20,4,6,174.589,2575.19,2.43
8,8,1,96,1024,50,1,5242880,20,4,6,175.906,2555.91,2.43
8,8,1,96,1024,50,2,1048576,20,4,6,171.960,2614.56,2.49
8,8,1,96,1024,50,2,5242880,20,4,6,176.357,2549.37,2.49
8,8,1,96,1024,50,3,1048576,20,4,6,175.642,2559.75,2.54
8,8,1,96,1024,50,3,5242880,20,4,6,174.618,2574.76,2.54
8,8,1,96,1024,50,4,1048576,20,4,6,174.067,2582.91,2.59
8,8,1,96,1024,50,4,5242880,20,4,6,176.229,2551.23,2.59
8,8,1,96,1024,256,1,1048576,20,4,6,180.410,2492.10,2.27
8,8,1,96,1024,256,1,5242880,20,4,6,179.975,2498.13,2.27
8,8,1,96,1024,256,2,1048576,20,4,6,183.764,2446.62,2.29
8,8,1,96,1024,256,2,5242880,20,4,6,180.666,2488.57,2.29
8,8,1,96,1024,256,3,1048576,20,4,6,178.415,2519.97,2.30
8,8,1,96,1024,256,3,5242880,20,4,6,181.062,2483.13,2.30
8,8,1,96,1024,256,4,1048576,20,4,6,179.594,2503.42,2.33
8,8,1,96,1024,256,4,5242880,20,4,6,178.703,2515.91,2.33
8,8,3,32,256,10,1,1048576,20,4,6,102.980,4365.90,2.90
8,8,3,32,256,10,1,5242880,20,4,6,87.834,5118.75,2.90
8,8,3,32,256,10,2,1048576,20,4,6,91.110,4934.70,2.77
8,8,3,32,256,10,2,5242880,20,4,6,101.246,4440.67,2.77
8,8,3,32,256,10,3,1048576,20,4,6,104.057,4320.71,2.81
8,8,3,32,256,10,3,5242880,20,4,6,99.024,4540.32,2.81
8,8,3,32,256,10,4,1048576,20,4,6,93.247,4821.61,2.86
8,8,3,32,256,10,4,5242880,20,4,6,101.635,4423.68,2.86
8,8,3,32,256,50,1,1048576,20,4,6,106.040,4239.91,2.37
8,8,3,32,256,50,1,5242880,20,4,6,90.084,4990.90,2.37
8,8,3,32,256,50,2,1048576,20,4,6,97.956,4589.82,2.38
8,8,3,32,256,50,2,5242880,20,4,6,90.021,4994.40,2.38
8,8,3,32,256,50,3,1048576,20,4,6,90.165,4986.42,2.41
8,8,3,32,256,50,3,5242880,20,4,6,101.174,4443.83,2.41
8,8,3,32,256,50,4,1048576,20,4,6,90.069,4991.73,2.43
8,8,3,32,256,50,4,5242880,20,4,6,93.648,4800.96,2.43
8,8,3,32,256,256,1,1048576,20,4,6,103.055,4362.72,2.15
8,8,3,32,256,256,1,5242880,20,4,6,108.549,4141.91,2.15
8,8,3,32,256,256,2,1048576,20,4,6,97.001,4635.01,2.15
8,8,3,32,256,256,2,5242880,20,4,6,99.094,4537.11,2.15
8,8,3,32,256,256,3,1048576,20,4,6,109.048,4122.96,2.15
8,8,3,32,256,256,3,5242880,20,4,6,99.912,4499.96,2.15
8,8,3,32,256,256,4,1048576,20,4,6,103.931,4325.95,2.15
8,8,3,32,256,256,4,5242880,20,4,6,110.631,4063.96,2.15
8,8,3,32,1024,10,1,1048576,20,4,6,315.012,1427.25,3.04
8,8,3,32,1024,10,1,5242880,20,4,6,315.969,1422.92,3.04
8,8,3,32,1024,10,2,1048576,20,4,6,314.484,1429.64,2.88
8,8,3,32,1024,10,2,5242880,20,4,6,310.454,1448.20,2.88
8,8,3,32,1024,10,3,1048576,20,4,6,309.180,1454.17,2.89
8,8,3,32,1024,10,3,5242880,20,4,6,314.829,1428.08,2.89
8,8,3,32,1024,10,4,1048576,20,4,6,309.868,1450.94,3.00
8,8,3,32,1024,10,4,5242880,20,4,6,307.536,1461.94,3.00
8,8,3,32,1024,50,1,1048576,20,4,6,317.263,1417.12,2.40
8,8,3,32,1024,50,1,5242880,20,4,6,313.131,1435.82,2.40
8,8,3,32,1024,50,2,1048576,20,4,6,314.231,1430.79,2.44
8,8,3,32,1024,50,2,5242880,20,4,6,313.228,1435.37,2.44
8,8,3,32,1024,50,3,1048576,20,4,6,311.024,1445.55,2.51
